['862', '临(F臨)', 'lín']
['863', '吴(F吳)', 'Wú']
['864', '摇(F搖)', 'yáo']
['865', '跳', 'tiào']
['866', '曲', 'qū']
['867', '练(F練)', 'liàn']
['868', '构(F構)', 'gòu']
['869', '玩', 'wán']
['870', '玉', 'yù']
['871', '犯', 'fàn']
['872', '厂(F廠)', 'chǎng']
['873', '肯', 'kěn']
['874', '协(F協)', 'xié']
['875', '幸', 'xìng']
['876', '挥(F揮)', 'huī']
['877', '效', 'xiào']
['878', '齐(F齊)', 'qí']
['879', '封', 'fēng']
['880', '温(F溫)', 'wēn']
['881', '疑', 'yí']
['882', '肉', 'ròu']
['883', '攻', 'gōng']
['884', '纸(F紙)', 'zhǐ']
['885', '策', 'cè']
['886', '充', 'chōng']
['887', '顶(F頂)', 'dǐng']
['888', '寻(F尋)', 'xún']
['889', '宁(F寧)', 'nìng']
['890', '沙', 'shā']
['891', '防', 'fáng']
['892', '抓', 'zhuā']
['893', '例', 'lì']
['894', '股', 'gǔ']
['895', '卖(F賣)', 'mài']
['896', '顺(F順)', 'shùn']
['897', '警', 'jǐng']
['898', '梦(F夢)', 'mèng']
['899', '剧(F劇)', 'jù']
['900', '善', 'shàn']
['901', '蒙', 'méng']
['902', '票', 'piào']
['903', '良', 'liáng']
['904', '范', 'fàn']
['905', '坚(F堅)', 'jiān']
['906', '端', 'duān']
['907', '靠', 'kào']
['908', '杂(F雜)', 'zá']
['909', '贵(F貴)', 'guì']
['910', '怒', 'nù']
['911', '稿', 'gǎo']
['912', '拍', 'pāi']
['913', '率', 'lǜ']
['914', '旧(F舊)', 'jiù']
['915', '掉', 'diào']
['916', '啦', 'la']
['917', '莫', 'mò']
['918', '授', 'shòu']
['919', '守', 'shǒu']
['920', '油', 'yóu']
['921', '恩', 'ēn']
['922', '积(F積)', 'jī']
['923', '益', 'yì']
['924', '县(F縣)', 'xiàn']
['925', '哭', 'kū']
['926', '罢(F罷)', 'bà']
['927', '庭', 'tíng']
['928', '窗', 'chuāng']
['929', '扬(F揚)', 'yáng']
['930', '忘', 'wàng']
['931', '午', 'wǔ']
['932', '卡', 'kǎ']
['933', '雪', 'xuě']
['934', '菜', 'cài']
['935', '牌', 'pái']
['936', '牛', 'niú']
['937', '脱(F脫)', 'tuō']
['938', '博', 'bó']
['939', '丈', 'zhàng']
['940', '弹(F彈)', 'dàn']
['941', '洲', 'zhōu']
['942', '松', 'sōng']
['943', '坏', 'huài']
['944', '邓(F鄧)', 'Dèng']
['945', '鲜(F鮮)', 'xiān']
['946', '短', 'duǎn']
['947', '毕(F畢)', 'bì']
['948', '置', 'zhì']
['949', '楚', 'chu']
['950', '欧(F歐)', 'ōu']
['951', '略', 'lüè']
